# Ntotal galaxy=126321 in sky area 2.0deg^2
# z_low   z_up   N(z)_ratio   N_gal
0.00 0.20 0.0586 7398
0.20 0.40 0.1498 18920
0.40 0.60 0.1356 17125
0.60 0.80 0.1684 21273
0.80 1.00 0.1629 20583
1.00 1.20 0.1062 13410
1.20 1.40 0.0573 7234
1.40 1.60 0.0451 5697
1.60 1.80 0.0231 2917
1.80 2.00 0.0174 2202
2.00 2.20 0.0218 2760
2.20 2.40 0.0107 1350
2.40 2.60 0.0118 1494
2.60 2.80 0.0085 1072
2.80 3.00 0.0068 865
3.00 3.20 0.0052 663
3.20 3.40 0.0038 484
3.40 3.60 0.0022 276
3.60 3.80 0.0013 160
3.80 4.00 0.0012 151
